,cagr,mdd
2017-08-22,13.11381448226765,-18.817650284830222
2017-08-23,13.145409899944148,-18.817650284830222
2017-08-24,13.096458386856558,-18.817650284830222
2017-08-25,13.06178435414389,-18.817650284830222
2017-08-28,13.347630209414273,-18.817650284830222
2017-08-29,13.368134412830134,-18.817650284830222
2017-08-30,13.275848444256045,-18.817650284830222
2017-08-31,13.37471394012475,-18.817650284830222
2017-09-01,13.405743633418687,-18.817650284830222
2017-09-04,13.489534739731045,-18.817650284830222
2017-09-05,13.506908531686301,-18.817650284830222
2017-09-06,13.508890900813398,-18.817650284830222
2017-09-07,13.487788472519501,-18.817650284830222
2017-09-08,13.478484772474953,-18.817650284830222
2017-09-11,13.290064654091015,-18.817650284830222
2017-09-12,13.273500157650941,-18.817650284830222
2017-09-13,13.238331837575457,-18.817650284830222
2017-09-14,13.11278164544769,-18.817650284830222
2017-09-15,13.113001930586798,-18.817650284830222
2017-09-18,12.999536707243543,-18.817650284830222
2017-09-19,12.97854686498432,-18.817650284830222
2017-09-20,13.016297309328962,-18.817650284830222
2017-09-21,12.989441057737118,-18.817650284830222
2017-09-22,13.024259672039484,-18.817650284830222
2017-09-25,13.091851931344234,-18.817650284830222
2017-09-26,13.159921679942244,-18.817650284830222
2017-09-27,13.153672568409668,-18.817650284830222
2017-09-28,12.990361214593825,-18.817650284830222
2017-09-29,12.951300065188498,-18.817650284830222
2017-10-10,12.83533930968963,-18.817650284830222
2017-10-11,12.755274514924487,-18.817650284830222
2017-10-12,12.738247172030581,-18.817650284830222
2017-10-13,12.909663901880354,-18.817650284830222
2017-10-16,12.88193816831087,-18.817650284830222
2017-10-17,12.723842808295993,-18.817650284830222
2017-10-18,12.752939163072563,-18.817650284830222
2017-10-19,12.767711235212564,-18.817650284830222
2017-10-20,12.66226206685863,-18.817650284830222
2017-10-23,12.619230604461485,-18.817650284830222
2017-10-24,12.812641800566137,-18.817650284830222
2017-10-25,12.823162551828581,-18.817650284830222
2017-10-26,13.005016245412637,-18.817650284830222
2017-10-27,12.813973118985267,-18.817650284830222
2017-10-30,12.77673134415378,-18.817650284830222
2017-10-31,12.912969002641228,-18.817650284830222
2017-11-01,12.860444875997935,-18.817650284830222
2017-11-02,12.947992057607038,-18.817650284830222
2017-11-03,12.915085770038548,-18.817650284830222
2017-11-06,12.866646479354893,-18.817650284830222
2017-11-07,12.849955822472747,-18.817650284830222
2017-11-08,12.834602720696342,-18.817650284830222
2017-11-09,12.8619454408065,-18.817650284830222
2017-11-10,12.918395315754584,-18.817650284830222
2017-11-13,12.93165314903053,-18.817650284830222
2017-11-14,13.011658471382637,-18.817650284830222
2017-11-15,13.304784869904761,-18.817650284830222
2017-11-16,13.477120719665269,-18.817650284830222
2017-11-17,13.452364904848334,-18.817650284830222
2017-11-20,13.584495430372122,-18.817650284830222
2017-11-21,13.553217855617628,-18.817650284830222
2017-11-22,13.5300788809394,-18.817650284830222
2017-11-23,13.616999055114022,-18.817650284830222
2017-11-24,13.61942783545691,-18.817650284830222
2017-11-27,13.794536950304636,-18.817650284830222
2017-11-28,13.825672498146279,-18.817650284830222
2017-11-29,13.667455548738761,-18.817650284830222
2017-11-30,13.652833938436725,-18.817650284830222
2017-12-01,13.43801550581123,-18.817650284830222
2017-12-04,13.128492502438283,-18.817650284830222
2017-12-05,13.240965871291088,-18.817650284830222
2017-12-06,13.692813626686483,-18.817650284830222
2017-12-07,13.661225617929462,-18.817650284830222
2017-12-08,13.5317040500593,-18.817650284830222
2017-12-11,13.351725027935801,-18.817650284830222
2017-12-12,13.303012448801855,-18.817650284830222
2017-12-13,13.230367851647973,-18.817650284830222
2017-12-14,13.210282090513893,-18.817650284830222
2017-12-15,13.290126900420084,-18.817650284830222
2017-12-18,12.995825352508383,-18.817650284830222
2017-12-19,12.92776168953267,-18.817650284830222
2017-12-20,13.03599328702305,-18.817650284830222
2017-12-21,13.423434668321587,-18.817650284830222
2017-12-22,13.334644041222043,-18.817650284830222
2017-12-26,13.464705687671664,-18.817650284830222
2017-12-27,13.411206200872572,-18.817650284830222
2017-12-28,13.184573594836335,-18.817650284830222
2018-01-02,13.35924449388286,-18.817650284830222
2018-01-03,13.20140497097244,-18.817650284830222
2018-01-04,13.092010252421016,-18.817650284830222
2018-01-05,12.920831222902018,-18.817650284830222
2018-01-08,12.772008549068703,-18.817650284830222
